timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-28T23:23:40.598644+0200,10.0.2.15,192.168.1.1,0,0.89
2025-12-28T23:23:40.598643+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:23:40.652506+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:23:40.674798+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.778154+0200,10.0.2.15,192.168.1.1,0,0.89
2025-12-28T23:24:46.807962+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.829662+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.842874+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:24:46.777898+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.807550+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.845
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.845
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.111,0,0.84
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.85
2025-12-28T23:23:28.234394+0200,10.0.2.15,185.125.190.122,0,0.84
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.85
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.113,0,0.84
2025-12-28T23:23:28.234394+0200,10.0.2.15,13.107.213.43,0,0.81
2025-12-28T23:23:28.234394+0200,10.0.2.15,20.52.64.201,0,0.76
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.85
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.85
2025-12-28T23:28:00.519354+0200,,,0,0.85
2025-12-28T23:23:40.598643+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:23:40.598644+0200,10.0.2.15,192.168.1.1,0,0.89
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:23:40.652506+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:23:40.674798+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.777898+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.778154+0200,10.0.2.15,192.168.1.1,0,0.89
2025-12-28T23:24:46.807550+0200,10.0.2.15,192.168.1.1,0,0.87
2025-12-28T23:24:46.807962+0200,10.0.2.15,192.168.1.1,0,0.915
2025-12-28T23:24:46.829662+0200,10.0.2.15,192.168.1.1,0,0.915
