timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-28T23:23:40.598644+0200,10.0.2.15,192.168.1.1,0,0.785
2025-12-28T23:23:40.598643+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.805
2025-12-28T23:23:40.651792+0200,10.0.2.15,192.168.1.1,0,0.845
2025-12-28T23:23:40.652506+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:23:40.674798+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:24:46.778154+0200,10.0.2.15,192.168.1.1,0,0.785
2025-12-28T23:24:46.807962+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:24:46.829662+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:24:46.842874+0200,10.0.2.15,192.168.1.1,0,0.805
2025-12-28T23:24:46.777898+0200,10.0.2.15,192.168.1.1,0,0.71
2025-12-28T23:24:46.807550+0200,10.0.2.15,192.168.1.1,0,0.845
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.76
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.745
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.111,0,0.735
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.755
2025-12-28T23:23:28.234394+0200,10.0.2.15,185.125.190.122,0,0.735
2025-12-28T23:23:28.234394+0200,10.0.2.15,192.168.1.1,0,0.745
2025-12-28T23:23:28.234394+0200,10.0.2.15,91.189.91.113,0,0.735
